threshold,f2,f1,recall,precision,cout_metier,fn,fp,tn,tp
0.7295,0.2504,0.2418,0.2564,0.2288,41210,3692,4290,52248,1273
0.7346,0.248,0.2414,0.2526,0.2312,41281,3711,4171,52367,1254
0.7396,0.248,0.2414,0.2526,0.2312,41281,3711,4171,52367,1254
0.7446,0.248,0.2414,0.2526,0.2312,41281,3711,4171,52367,1254
0.7497,0.2478,0.2418,0.252,0.2324,41271,3714,4131,52407,1251
0.7547,0.2478,0.2425,0.2516,0.234,41249,3716,4089,52449,1249
0.7597,0.2385,0.2388,0.2383,0.2394,41578,3782,3758,52780,1183
0.7648,0.2149,0.2277,0.207,0.253,42405,3937,3035,53503,1028
0.7698,0.2149,0.2277,0.207,0.253,42405,3937,3035,53503,1028
0.7748,0.1988,0.2178,0.1879,0.2591,42988,4032,2668,53870,933
0.7799,0.1932,0.2143,0.1813,0.262,43185,4065,2535,54003,900
0.7849,0.1932,0.2143,0.1813,0.262,43185,4065,2535,54003,900
0.7899,0.1712,0.1993,0.1565,0.2744,43935,4188,2055,54483,777
0.795,0.1712,0.1993,0.1565,0.2744,43935,4188,2055,54483,777
0.8,0.1032,0.1383,0.0882,0.3197,46202,4527,932,55606,438
